left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
123.369568 139.130432 0.085019 
198.369568 220.652176 0.030289 
176.086960 219.565216 0.027837 
175.000000 216.304352 0.030037 
150.000000 228.804352 0.009176 
176.630432 210.869568 0.010373 
228.260864 214.130432 0.008254 
225.000000 215.217392 0.006879 
223.913040 215.217392 0.004403 
228.260864 191.847824 0.008282 
222.826080 223.369568 0.009254 
223.913040 223.369568 0.005630 
179.891296 247.282608 0.003072 
226.630432 193.478256 0.008778 
219.565216 226.630432 0.011216 
209.782608 243.478256 0.008023 
210.326080 246.739120 0.005939 
214.130432 219.565216 0.011118 
